token_symbol,timestamp_date,price
WETH,04-08-2021,2724.53
WETH,05-08-2021,2821.65
WETH,06-08-2021,2888.73
WETH,07-08-2021,3151.22
WETH,08-08-2021,3012.31
WETH,09-08-2021,3163.06
WETH,10-08-2021,3147.84
WETH,11-08-2021,3166.65
WETH,12-08-2021,3048.41
WETH,13-08-2021,3323.2
WETH,14-08-2021,3268.55
WETH,15-08-2021,3309.75
WETH,16-08-2021,3153.58
WETH,17-08-2021,3007.14
WETH,18-08-2021,3037.23
WETH,19-08-2021,3144.82
WETH,20-08-2021,3276.97
WETH,21-08-2021,3224
WETH,22-08-2021,3243.49
WETH,23-08-2021,3320.41
WETH,24-08-2021,3177.66
WETH,25-08-2021,3231.44
WETH,26-08-2021,3122.97
WETH,27-08-2021,3267.54
WETH,28-08-2021,3245.43
WETH,29-08-2021,3233.38
WETH,30-08-2021,3232.73
WETH,31-08-2021,3440.56
WETH,01-09-2021,3790.61
WETH,02-09-2021,3793.3
WETH,03-09-2021,3936.16
WETH,04-09-2021,3894.94
WETH,05-09-2021,3950.27
WETH,06-09-2021,3943.26
WETH,07-09-2021,3440.34
WETH,08-09-2021,3496.86
WETH,09-09-2021,3435.98
WETH,10-09-2021,3209.92
WETH,11-09-2021,3268.1
WETH,12-09-2021,3417.84
WETH,13-09-2021,3301.19
WETH,14-09-2021,3425.25
WETH,15-09-2021,3595.96
WETH,16-09-2021,3573.31
WETH,17-09-2021,3412.18
WETH,18-09-2021,3427.58
WETH,19-09-2021,3335.88
WETH,20-09-2021,2977.32
WETH,21-09-2021,2744.11
WETH,22-09-2021,3074.12
WETH,23-09-2021,3159.27
WETH,24-09-2021,2930.74
WETH,25-09-2021,2946.97
WETH,26-09-2021,3063.32
WETH,27-09-2021,2939.74
WETH,28-09-2021,2798.98
WETH,29-09-2021,2855.61
WETH,30-09-2021,3013.49
WETH,01-10-2021,3305.11
WETH,02-10-2021,3393.92
WETH,03-10-2021,3426.39
WETH,04-10-2021,3390.31
WETH,05-10-2021,3520.34
WETH,06-10-2021,3592.18
WETH,07-10-2021,3594.92
WETH,08-10-2021,3558.55
WETH,09-10-2021,3588.08
